CustomerKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11022,ETHAN,ZHANG,12-10-1978,M,M,ethan20@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
11023,SETH,EDWARDS,11-10-1978,M,M,seth46@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
11024,RUSSELL,XIE,17-09-1978,M,M,russell7@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
11025,ALEJANDRO,BECK,23-12-1945,M,NA,alejandro45@adventure-works.com,10000,2,Partial High School,Clerical,Y
11026,HAROLD,SAI,03-04-1946,S,M,harold3@adventure-works.com,30000,2,Partial College,Clerical,N
11027,JESSIE,ZHAO,07-12-1946,M,M,jessie16@adventure-works.com,30000,2,Partial College,Clerical,Y
11028,JILL,JIMENEZ,11-04-1946,M,F,jill13@adventure-works.com,30000,2,Partial College,Clerical,Y
11029,JIMMY,MORENO,21-12-1946,M,M,jimmy9@adventure-works.com,30000,2,Partial College,Clerical,Y
11030,BETHANY,YUAN,22-02-1947,M,F,bethany10@adventure-works.com,10000,2,Partial High School,Clerical,Y
11031,THERESA,RAMOS,22-08-1947,M,F,theresa13@adventure-works.com,20000,4,High School,Skilled Manual,Y
11032,DENISE,STONE,11-06-1947,M,F,denise10@adventure-works.com,20000,4,High School,Skilled Manual,Y
11033,JAIME,NATH,23-09-1947,M,M,jaime41@adventure-works.com,20000,4,High School,Skilled Manual,Y
11034,EBONY,GONZALEZ,19-06-1947,M,F,ebony19@adventure-works.com,20000,4,High School,Skilled Manual,Y
11035,WENDY,DOMINGUEZ,24-02-1948,M,NA,wendy12@adventure-works.com,10000,2,Partial High School,Clerical,Y
11036,JENNIFER,RUSSELL,18-12-1978,M,F,jennifer93@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
11037,CHLOE,GARCIA,27-11-1977,S,F,chloe27@adventure-works.com,40000,0,Partial High School,Clerical,N
11038,DIANA,HERNANDEZ,23-03-1948,M,F,diana2@adventure-works.com,10000,2,Partial High School,Clerical,Y
11039,MARC,MARTIN,17-12-1948,M,M,marc3@adventure-works.com,30000,3,Partial College,Clerical,Y
11040,JESSE,MURPHY,01-08-1977,M,M,jesse15@adventure-works.com,30000,0,Partial College,Skilled Manual,Y
11041,AMANDA,CARTER,16-10-1977,M,F,amanda53@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
11042,MEGAN,SANCHEZ,13-06-1977,M,F,megan28@adventure-works.com,70000,0,Partial College,Skilled Manual,Y
11043,NATHAN,SIMMONS,24-02-1976,M,M,nathan11@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
11044,ADAM,FLORES,24-05-1949,M,M,adam10@adventure-works.com,20000,2,Partial High School,Clerical,Y
11045,LEONARD,NARA,19-05-1950,S,M,leonard18@adventure-works.com,30000,3,High School,Skilled Manual,N
11046,CHRISTINE,YUAN,22-03-1950,M,F,christine4@adventure-works.com,30000,3,High School,Skilled Manual,Y
11047,JACLYN,LU,27-02-1950,M,F,jaclyn12@adventure-works.com,30000,3,High School,Skilled Manual,N
11048,JEREMY,POWELL,22-11-1950,M,M,jeremy26@adventure-works.com,30000,3,High School,Skilled Manual,Y
11049,CAROL,RAI,18-07-1980,S,F,carol8@adventure-works.com,40000,0,Partial High School,Clerical,Y
11050,ALAN,ZHENG,07-09-1951,M,M,alan23@adventure-works.com,30000,3,High School,Skilled Manual,Y
11051,DANIEL,JOHNSON,04-08-1951,S,M,daniel18@adventure-works.com,30000,3,High School,Skilled Manual,N
11052,HEIDI,LOPEZ,07-08-1951,S,F,heidi19@adventure-works.com,40000,2,Partial College,Clerical,N
11053,ANA,PRICE,20-08-1980,M,F,ana0@adventure-works.com,60000,0,Partial College,Skilled Manual,N
11054,DEANNA,MUNOZ,10-03-1952,M,F,deanna33@adventure-works.com,40000,2,Partial College,Skilled Manual,Y
11055,GILBERT,RAJE,05-03-1952,M,M,gilbert35@adventure-works.com,40000,2,Partial College,Skilled Manual,Y
11056,MICHELE,NATH,03-04-1953,M,F,michele19@adventure-works.com,40000,3,Partial College,Skilled Manual,Y
11057,CARL,ANDERSEN,12-10-1953,M,M,carl12@adventure-works.com,70000,2,Graduate Degree,Management,Y
11058,MARC,DIAZ,27-04-1954,M,M,marc6@adventure-works.com,80000,2,Partial College,Skilled Manual,Y
11059,ASHLEE,ANDERSEN,01-04-1954,S,F,ashlee19@adventure-works.com,80000,2,Partial College,Skilled Manual,Y
11060,JON,ZHOU,17-03-1954,M,M,jon28@adventure-works.com,80000,2,Partial College,Skilled Manual,Y
11061,TODD,GAO,27-02-1954,M,M,todd14@adventure-works.com,80000,2,Partial College,Skilled Manual,Y
11062,NOAH,POWELL,02-09-1975,M,M,noah5@adventure-works.com,40000,0,High School,Skilled Manual,Y
11063,ANGELA,MURPHY,07-04-1975,S,F,angela41@adventure-works.com,40000,0,High School,Skilled Manual,Y
11064,CHASE,REED,07-12-1975,M,M,chase21@adventure-works.com,40000,0,High School,Skilled Manual,Y
11065,JESSICA,HENDERSON,09-10-1973,M,F,jessica29@adventure-works.com,60000,0,Partial College,Skilled Manual,N
11066,GRACE,BUTLER,27-11-1973,M,F,grace62@adventure-works.com,70000,0,Partial College,Professional,Y
11067,CALEB,CARTER,25-09-1976,S,M,caleb40@adventure-works.com,60000,0,Partial College,Professional,Y
11068,TIFFANY,LIANG,23-09-1955,S,F,tiffany17@adventure-works.com,80000,2,High School,Skilled Manual,Y
11069,CAROLYN,NAVARRO,21-09-1955,S,F,carolyn30@adventure-works.com,80000,2,High School,Skilled Manual,N
11070,WILLIE,RAJI,05-04-1955,M,M,willie40@adventure-works.com,80000,2,High School,Skilled Manual,Y
11071,LINDA,SERRANO,26-06-1955,S,F,linda31@adventure-works.com,80000,2,High School,Skilled Manual,Y
11072,CASEY,LUO,06-02-1955,S,F,casey6@adventure-works.com,80000,2,High School,Skilled Manual,N
11073,AMY,YE,14-08-1956,S,F,amy16@adventure-works.com,70000,2,High School,Skilled Manual,Y
11074,LEVI,ARUN,28-08-1956,S,M,levi6@adventure-works.com,70000,2,High School,Skilled Manual,Y
11075,FELICIA,JIMENEZ,16-11-1957,S,F,felicia4@adventure-works.com,80000,2,High School,Professional,Y
11076,BLAKE,ANDERSON,13-07-1957,S,M,blake9@adventure-works.com,80000,2,High School,Professional,Y
11077,LEAH,YE,19-09-1957,S,F,leah7@adventure-works.com,80000,2,High School,Professional,N
11078,GINA,MARTIN,10-01-1974,S,F,gina1@adventure-works.com,40000,0,High School,Professional,N
11079,DONALD,GONZALEZ,11-03-1959,S,M,donald20@adventure-works.com,160000,0,Graduate Degree,Management,Y
11080,DAMIEN,CHANDER,17-07-1959,M,M,damien32@adventure-works.com,170000,0,Graduate Degree,Management,Y
11081,SAVANNAH,BAKER,24-07-1966,M,F,savannah39@adventure-works.com,120000,2,Bachelors,Management,Y
11082,ANGELA,BUTLER,04-08-1966,S,NA,angela17@adventure-works.com,130000,0,Graduate Degree,Management,N
11083,ALYSSA,COX,15-03-1966,M,F,alyssa37@adventure-works.com,130000,0,Graduate Degree,Management,Y
11084,LUCAS,PHILLIPS,12-09-1957,S,M,lucas7@adventure-works.com,80000,2,Partial High School,Skilled Manual,N
11085,EMILY,JOHNSON,19-07-1957,S,F,emily1@adventure-works.com,60000,2,High School,Professional,N
11086,RYAN,BROWN,23-12-1957,M,M,ryan43@adventure-works.com,70000,2,Partial College,Professional,Y
11087,TAMARA,LIANG,03-10-1957,M,F,tamara6@adventure-works.com,70000,3,Partial College,Professional,N
11089,ABIGAIL,PRICE,05-02-1957,S,F,abigail25@adventure-works.com,80000,2,Bachelors,Management,Y
11090,TREVOR,BRYANT,17-12-1957,S,M,trevor18@adventure-works.com,90000,2,Partial College,Professional,Y
11091,DALTON,PEREZ,04-04-1957,M,M,dalton37@adventure-works.com,90000,2,Partial College,Professional,Y
11092,CHERYL,DIAZ,06-05-1967,M,F,cheryl4@adventure-works.com,90000,2,Bachelors,Professional,Y
11093,AIMEE,HE,10-09-1967,M,F,aimee13@adventure-works.com,100000,0,Graduate Degree,Management,Y
11094,CEDRIC,MA,01-04-1962,S,M,cedric15@adventure-works.com,70000,1,Partial College,Skilled Manual,N
11095,CHAD,KUMAR,01-09-1962,S,M,chad9@adventure-works.com,70000,1,Partial College,Skilled Manual,Y
11096,ANDRÉS,ANAND,10-08-1962,M,M,andrés18@adventure-works.com,60000,1,Bachelors,Professional,Y
11097,EDWIN,NARA,27-10-1961,M,M,edwin39@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
11098,MALLORY,RUBIO,01-05-1961,S,F,mallory7@adventure-works.com,60000,1,Partial College,Skilled Manual,N
11099,ADAM,ROSS,08-03-1961,M,M,adam2@adventure-works.com,60000,1,Bachelors,Professional,Y
11100,LATASHA,NAVARRO,15-09-1960,S,F,latasha10@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
11101,ABBY,SAI,08-05-1965,S,F,abby4@adventure-works.com,70000,0,Bachelors,Professional,N
11102,JULIA,NELSON,21-04-1965,S,F,julia7@adventure-works.com,80000,5,Bachelors,Professional,Y
11103,CASSIE,CHANDE,17-10-1964,S,F,cassie13@adventure-works.com,70000,0,Bachelors,Professional,Y
11104,EDGAR,SARA,11-03-1964,M,M,edgar11@adventure-works.com,70000,0,Bachelors,Professional,N
11105,CANDACE,FERNANDEZ,28-12-1964,S,F,candace15@adventure-works.com,70000,0,Bachelors,Professional,N
11106,JESSIE,LIU,11-09-1964,S,M,jessie9@adventure-works.com,70000,0,Bachelors,Professional,N
11107,BIANCA,LIN,09-09-1959,M,F,bianca7@adventure-works.com,90000,1,Bachelors,Professional,Y
11108,KARI,ALVAREZ,14-07-1963,S,F,kari25@adventure-works.com,70000,0,Bachelors,Professional,N
11109,RUBEN,KAPOOR,05-11-1963,S,M,ruben1@adventure-works.com,70000,0,Bachelors,Professional,N
11110,CURTIS,YANG,06-06-1962,M,M,curtis5@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
11111,MEREDITH,GUTIERREZ,23-02-1962,M,F,meredith34@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
11112,CRYSTAL,WANG,09-09-1962,M,F,crystal3@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
11113,MICHEAL,BLANCO,21-02-1962,M,M,micheal11@adventure-works.com,70000,5,Bachelors,Professional,Y
11114,LESLIE,MORENO,28-05-1962,S,F,leslie7@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
11115,ALVIN,CAI,12-02-1962,M,M,alvin20@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
11116,CLINTON,CARLSON,07-10-1962,M,M,clinton14@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
11117,APRIL,DENG,21-02-1961,M,F,april1@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
11118,ALVIN,ZENG,03-07-1957,S,M,alvin21@adventure-works.com,80000,1,Partial College,Skilled Manual,N
11119,EVAN,JAMES,10-04-1935,S,M,evan8@adventure-works.com,30000,2,Partial College,Clerical,N
11121,ORLANDO,SUAREZ,18-11-1960,M,M,orlando19@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
11122,BYRON,VAZQUEZ,02-04-1960,M,M,byron9@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
11123,PHILIP,ALVAREZ,20-06-1960,M,M,philip4@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
11124,ROSS,JORDAN,27-07-1957,S,M,ross1@adventure-works.com,80000,1,Partial College,Skilled Manual,Y
11125,DANA,NAVARRO,08-04-1956,S,F,dana2@adventure-works.com,70000,1,Partial College,Skilled Manual,Y
11126,SHAUN,CARSON,07-04-1949,M,M,shaun16@adventure-works.com,10000,2,High School,Skilled Manual,N
11127,JAN,EDWARDS,21-10-1975,M,F,jan11@adventure-works.com,40000,0,High School,Skilled Manual,Y
11128,SAMANTHA,LONG,05-12-1975,M,F,samantha35@adventure-works.com,40000,0,High School,Skilled Manual,Y
11129,JULIA,WRIGHT,05-08-1975,S,F,julia17@adventure-works.com,40000,0,High School,Skilled Manual,Y
11130,CAROLINE,RUSSELL,06-01-1980,M,F,caroline21@adventure-works.com,30000,0,High School,Skilled Manual,Y
11131,AMANDA,RIVERA,12-03-1980,M,F,amanda7@adventure-works.com,30000,0,High School,Skilled Manual,N
11132,MELISSA,RICHARDSON,26-10-1980,S,F,melissa31@adventure-works.com,30000,0,High School,Skilled Manual,N
11133,ANGELA,GRIFFIN,08-09-1980,S,F,angela23@adventure-works.com,30000,0,Partial High School,Clerical,N
11134,LARRY,TOWNSEND,26-02-1946,S,M,larry14@adventure-works.com,10000,5,High School,Skilled Manual,Y
11135,MARCUS,HARRIS,03-11-1979,S,M,marcus14@adventure-works.com,30000,0,Partial High School,Clerical,N
11136,BRIANNA,MORGAN,26-10-1978,S,F,brianna30@adventure-works.com,40000,0,High School,Skilled Manual,N
11137,JASMINE,TAYLOR,20-07-1978,M,F,jasmine7@adventure-works.com,40000,0,High School,Skilled Manual,Y
11138,LAUREN,DAVIS,15-09-1978,M,F,lauren23@adventure-works.com,40000,0,High School,Skilled Manual,N
11139,TANYA,MORENO,09-11-1938,S,F,tanya2@adventure-works.com,30000,2,Partial College,Clerical,N
11140,JAVIER,ALVAREZ,11-02-1977,S,M,javier1@adventure-works.com,30000,0,Partial High School,Clerical,N
11141,NICOLE,RAMIREZ,21-06-1977,M,F,nicole42@adventure-works.com,40000,0,High School,Skilled Manual,N
11142,EDUARDO,PATTERSON,14-08-1977,S,M,eduardo55@adventure-works.com,40000,0,High School,Skilled Manual,N
11143,JONATHAN,HENDERSON,04-02-1977,M,M,jonathan4@adventure-works.com,40000,0,High School,Skilled Manual,Y
11144,EDWARD,HERNANDEZ,09-09-1979,S,M,edward48@adventure-works.com,40000,0,High School,Skilled Manual,N
11145,JASMINE,COLEMAN,08-12-1979,S,F,jasmine46@adventure-works.com,40000,0,High School,Skilled Manual,N
11146,KARLA,GOEL,26-08-1939,S,F,karla20@adventure-works.com,40000,2,Bachelors,Management,Y
11147,ERNEST,WU,05-02-1939,M,M,ernest6@adventure-works.com,60000,2,Graduate Degree,Management,Y
11148,ROSS,VAZQUEZ,16-08-1941,M,M,ross32@adventure-works.com,40000,2,Bachelors,Management,Y
11149,THEODORE,GILL,20-04-1941,M,M,theodore14@adventure-works.com,40000,2,Bachelors,Management,Y
11150,RUSSELL,SHEN,15-03-1941,S,M,russell6@adventure-works.com,40000,2,Bachelors,Management,Y
11151,MELINDA,GILL,25-02-1942,S,F,melinda9@adventure-works.com,60000,2,Graduate Degree,Management,N
11152,JAMES,WILLIAMS,10-01-1976,S,M,james77@adventure-works.com,40000,0,High School,Skilled Manual,Y
11153,ANGELA,JAMES,23-06-1976,M,F,angela34@adventure-works.com,40000,0,High School,Skilled Manual,Y
11154,MEGAN,WALKER,21-08-1976,S,F,megan25@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
11155,HUNTER,ROBINSON,26-01-1976,S,M,hunter50@adventure-works.com,40000,0,Partial College,Skilled Manual,N
11156,MARIA,ROBERTS,07-02-1976,S,F,maria47@adventure-works.com,40000,0,Partial College,Skilled Manual,N
11157,HANNAH,LONG,11-06-1975,M,F,hannah32@adventure-works.com,40000,0,High School,Skilled Manual,Y
11158,JASON,WRIGHT,08-10-1975,S,M,jason46@adventure-works.com,40000,0,High School,Skilled Manual,Y
11159,BRIANNA,HUGHES,17-09-1975,S,F,brianna57@adventure-works.com,40000,0,High School,Skilled Manual,N
11160,MAURICE,TANG,08-01-1974,S,M,maurice4@adventure-works.com,40000,0,Partial College,Skilled Manual,N
11161,EMILY,WOOD,22-04-1974,S,F,emily27@adventure-works.com,40000,0,Partial College,Skilled Manual,N
11162,CHASE,COX,05-03-1974,S,M,chase10@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
11163,GABRIEL,WANG,20-12-1974,M,M,gabriel21@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
11164,DEVIN,BROOKS,05-05-1974,S,M,devin63@adventure-works.com,40000,0,Partial College,Skilled Manual,N
11165,JOCELYN,ALEXANDER,18-07-1973,M,F,jocelyn18@adventure-works.com,60000,0,Partial College,Skilled Manual,N
11166,ASHLEY,MARTINEZ,24-04-1972,S,F,ashley18@adventure-works.com,70000,0,Partial College,Skilled Manual,N
11167,JASMINE,BARNES,01-08-1972,S,F,jasmine43@adventure-works.com,80000,0,Bachelors,Management,N
11168,DAVID,RODRIGUEZ,15-05-1968,S,M,david83@adventure-works.com,80000,0,Bachelors,Management,N
11169,BRYCE,RICHARDSON,22-06-1968,M,M,bryce8@adventure-works.com,90000,4,Bachelors,Management,Y
11170,CAROL,HOWARD,05-02-1968,M,F,carol5@adventure-works.com,90000,4,Bachelors,Management,Y
11171,JONATHAN,HILL,09-10-1967,S,M,jonathan43@adventure-works.com,100000,1,Bachelors,Management,Y
11172,GABRIELLE,ADAMS,21-11-1967,M,F,gabrielle58@adventure-works.com,100000,1,Bachelors,Management,Y
11173,SARAH,THOMAS,01-09-1967,S,F,sarah13@adventure-works.com,110000,0,Graduate Degree,Management,N
11174,NICHOLAS,ROBINSON,13-07-1967,M,M,nicholas19@adventure-works.com,110000,0,Graduate Degree,Management,Y
11175,LUIS,WANG,05-03-1963,S,M,luis24@adventure-works.com,70000,0,Partial College,Skilled Manual,Y
11176,MASON,ROBERTS,25-01-1968,M,M,mason25@adventure-works.com,90000,4,Bachelors,Management,Y
11177,JOSE,FLORES,04-07-1942,M,M,jose6@adventure-works.com,110000,2,Graduate Degree,Management,Y
11178,NATHAN,JOHNSON,24-08-1943,M,M,nathan55@adventure-works.com,100000,2,Graduate Degree,Management,Y
11179,MOLLY,RODRIGUEZ,14-06-1943,M,F,molly18@adventure-works.com,120000,2,Graduate Degree,Management,Y
11180,APRIL,ANAND,02-01-1943,M,F,april18@adventure-works.com,160000,1,Bachelors,Management,Y
11181,DEVIN,MARTIN,08-08-1943,M,M,devin13@adventure-works.com,170000,2,Graduate Degree,Management,Y
11182,STEPHANIE,TORRES,25-08-1944,S,F,stephanie19@adventure-works.com,70000,4,Bachelors,Management,Y
11183,JASMINE,LEE,15-07-1944,S,F,jasmine19@adventure-works.com,70000,4,Bachelors,Management,Y
11184,MEGHAN,HERNANDEZ,16-11-1944,S,F,meghan3@adventure-works.com,70000,4,Bachelors,Management,Y
11185,ASHLEY,HENDERSON,08-10-1944,S,F,ashley31@adventure-works.com,70000,4,Bachelors,Management,Y
11186,SARAH,PRICE,21-05-1944,S,F,sarah25@adventure-works.com,70000,4,Bachelors,Management,Y
11187,JENNIFER,COOPER,22-02-1944,M,F,jennifer63@adventure-works.com,60000,4,Graduate Degree,Management,Y
11188,CATHERINE,MORRIS,06-09-1944,M,F,catherine16@adventure-works.com,60000,4,Graduate Degree,Management,N
11190,CARSON,BRYANT,22-06-1944,M,M,carson17@adventure-works.com,70000,5,Bachelors,Management,Y
11191,KRISTI,PEREZ,18-12-1945,S,F,kristi39@adventure-works.com,70000,5,Bachelors,Management,Y
11192,JAMES,BROWN,13-09-1945,M,M,james79@adventure-works.com,60000,4,Bachelors,Management,Y
11193,IAN,GRAY,13-02-1945,M,M,ian72@adventure-works.com,60000,4,Bachelors,Management,Y
11194,JACQUELINE,PRICE,10-06-1945,M,F,jacqueline0@adventure-works.com,60000,4,Bachelors,Management,Y
11195,MEGAN,HENDERSON,10-02-1946,M,F,megan55@adventure-works.com,60000,5,Bachelors,Management,Y
11196,ALFREDO,ROMERO,07-06-1946,M,M,alfredo10@adventure-works.com,60000,5,Bachelors,Management,Y
11197,ANDREA,MORRIS,18-06-1946,M,F,andrea18@adventure-works.com,70000,3,Bachelors,Management,N
11198,BROOKE,SANDERS,26-11-1946,S,F,brooke3@adventure-works.com,70000,4,Bachelors,Management,Y
11199,JACQUELINE,BENNETT,06-11-1946,M,F,jacqueline1@adventure-works.com,70000,4,Bachelors,Management,Y
11200,JASON,GRIFFIN,22-11-1947,M,M,jason18@adventure-works.com,70000,4,Bachelors,Management,Y
11201,AMANDA,FOSTER,18-08-1947,M,F,amanda37@adventure-works.com,70000,4,Bachelors,Management,Y
11202,ALEXIA,PRICE,26-08-1947,M,F,alexia0@adventure-works.com,80000,5,Bachelors,Management,N
11203,LUIS,DIAZ,21-08-1948,M,M,luis21@adventure-works.com,40000,2,High School,Professional,Y
11205,ABBY,FERNANDEZ,24-07-1948,M,F,abby13@adventure-works.com,40000,2,High School,Professional,Y
11206,BLAKE,FLORES,24-09-1948,M,M,blake60@adventure-works.com,60000,2,Partial College,Professional,Y
11207,DANIELLE,COX,19-07-1948,S,F,danielle12@adventure-works.com,60000,2,Partial College,Professional,Y
11208,MARIA,REED,04-02-1948,M,F,maria4@adventure-works.com,60000,2,Bachelors,Management,Y
11209,ALLISON,EVANS,13-01-1948,M,F,allison21@adventure-works.com,60000,2,Bachelors,Management,Y
11210,EDWARD,WOOD,08-06-1948,M,M,edward50@adventure-works.com,70000,4,Partial College,Professional,Y
11211,SAMANTHA,RUSSELL,12-10-1949,M,F,samantha42@adventure-works.com,40000,2,High School,Professional,Y
11212,CHLOE,CAMPBELL,05-11-1949,M,F,chloe4@adventure-works.com,40000,2,High School,Professional,Y
11213,STEPHANIE,MURPHY,14-05-1949,S,F,stephanie11@adventure-works.com,60000,2,Partial College,Professional,Y
11214,CHARLES,MILLER,07-11-1949,S,M,charles9@adventure-works.com,60000,2,Partial College,Professional,Y
11215,ANA,PERRY,21-06-1950,M,F,ana7@adventure-works.com,40000,2,Partial High School,Skilled Manual,Y
11216,JASMINE,TORRES,20-05-1950,S,F,jasmine32@adventure-works.com,60000,2,Partial College,Professional,Y
11217,NATALIE,ADAMS,11-02-1950,S,F,natalie58@adventure-works.com,60000,2,Partial College,Professional,Y
11218,OLIVIA,BROWN,11-09-1950,S,F,olivia4@adventure-works.com,60000,2,Partial College,Professional,N
11219,CHARLES,COOK,02-12-1950,M,M,charles69@adventure-works.com,60000,2,High School,Professional,Y
11220,ERICA,HUANG,23-02-1950,M,F,erica5@adventure-works.com,60000,2,Partial College,Professional,Y
11221,NATHAN,PERRY,10-06-1950,M,M,nathan3@adventure-works.com,70000,4,Partial College,Professional,Y
11222,ALEXANDRA,RIVERA,17-08-1950,M,F,alexandra11@adventure-works.com,80000,3,Bachelors,Management,Y
11223,HAILEY,PATTERSON,16-09-1951,S,F,hailey30@adventure-works.com,70000,2,High School,Professional,Y
11224,TIFFANY,LI,06-09-1951,S,F,tiffany3@adventure-works.com,70000,2,High School,Professional,Y
11226,SYDNEY,ROSS,27-09-1951,M,F,sydney26@adventure-works.com,60000,2,Partial College,Professional,Y
11227,MARSHALL,CHAVEZ,12-08-1951,S,M,marshall35@adventure-works.com,60000,2,Partial College,Professional,Y
11228,ASHLEY,JONES,19-04-1951,M,F,ashley3@adventure-works.com,60000,2,Partial College,Professional,Y
11229,ADRIAN,STEWART,03-12-1951,S,M,adrian21@adventure-works.com,70000,4,Partial College,Professional,Y
11230,AMBER,TURNER,03-04-1951,M,F,amber4@adventure-works.com,70000,4,Partial College,Professional,N
11231,DENNIS,ZHANG,14-11-1952,M,M,dennis1@adventure-works.com,60000,2,High School,Professional,Y
11232,HAILEY,BRYANT,27-09-1952,M,F,hailey38@adventure-works.com,60000,3,High School,Professional,N
11233,TODD,LI,09-09-1952,M,M,todd5@adventure-works.com,70000,4,Partial College,Professional,Y
11234,ANNA,GRIFFIN,19-11-1952,S,NA,anna46@adventure-works.com,70000,4,Partial College,Professional,Y
11235,ANGEL,STEWART,08-02-1952,M,M,angel24@adventure-works.com,70000,4,Partial College,Professional,Y
11236,JEREMY,BUTLER,05-03-1952,S,M,jeremy29@adventure-works.com,70000,5,Partial College,Professional,Y
11237,CLARENCE,ANAND,23-09-1958,S,M,clarence36@adventure-works.com,130000,2,Bachelors,Management,N
11238,MAYRA,PRASAD,10-08-1958,S,F,mayra9@adventure-works.com,130000,2,Bachelors,Management,N
11239,LATOYA,GOEL,06-10-1958,M,F,latoya18@adventure-works.com,130000,2,Partial College,Professional,N
11240,ANNE,HERNANDEZ,11-12-1958,M,F,anne4@adventure-works.com,160000,2,Partial College,Professional,Y
11241,LISA,CAI,11-10-1957,S,F,lisa24@adventure-works.com,100000,2,Partial College,Professional,Y
11242,LARRY,MUNOZ,11-11-1957,M,M,larry9@adventure-works.com,110000,2,Partial College,Professional,Y
11243,ROBIN,ALVAREZ,09-10-1957,M,F,robin2@adventure-works.com,150000,2,Partial College,Professional,Y
11244,ALEXIS,COLEMAN,26-11-1957,S,F,alexis28@adventure-works.com,170000,2,Bachelors,Management,N
11245,RICKY,VAZQUEZ,27-10-1956,M,M,ricky15@adventure-works.com,120000,3,High School,Professional,N
11247,CLAUDIA,ZHOU,06-06-1956,S,F,claudia7@adventure-works.com,130000,3,Partial College,Professional,N
11248,TRISTAN,ALEXANDER,26-03-1955,M,M,tristan19@adventure-works.com,110000,3,Partial College,Professional,Y
11249,CINDY,PATEL,13-07-1955,M,F,cindy3@adventure-works.com,130000,3,Partial College,Professional,Y
11250,SHANNON,LIU,12-03-1955,M,F,shannon4@adventure-works.com,170000,3,High School,Professional,Y
11251,XAVIER,LONG,04-07-1932,S,M,xavier51@adventure-works.com,30000,4,High School,Professional,N
